user,pt_balance,expired_liquidity,fyt_yield,claimable_yield
0x93Db1e5382d2E7eE2C4c5D3825713C8Fa76d25A9,6537168717753139463368,1182864573873399529472,0,0
0xf2662F19C17400d57906661609ae38A69b3BF04E,15211195468364781936620,0,0,0
0x9d07E3406D3E7eC5E19B6804f6f821F684C9339c,843453662267646345875,0,0,0
0x7413556030996Ed9F7849716b1FAc1D4BA15EEb4,190376313093617823805,0,0,0
0xB286a69751Da07dF31Eb2F9962BEc077F351b0b1,20422952085379024232622,0,0,0
0xABC508DdA7517F195e416d77C822A4861961947a,11882379388752994567248,0,68640243074906259456,0
0xACd36EcA3a1C43877866B4C3C8552254793572d4,11424248532664110312082,0,63817807308167479296,0
0x9824697F7c12CAbAda9b57842060931c48dEA969,145908809079817363420995,0,441139075709663641600,0
0x8eBed0FF2B0232B0AedbFe6e9c0f72AC72577869,6278871066814530033228,0,0,0
0x606EAF6Afae3Cad042fbE7D8D32aAC88935F3430,478483153711158885218,0,0,0
0x3b4512e84017EC2dbc24e97006b47318807E1d3F,10187905601423721366686,0,0,0
0x0af1a5916139A09D27bE59775314eCE7b49e5f73,934536418222337961852,0,0,0
0xd953Df3CDA22530d5e30149a97840BE3f054b977,15980002977123609674947,0,0,0
0x59455BA3D00Bb8cBeAd8fE6DB3973210e49D4303,8808790387765519617,731453128859227652096,0,0
0xa9f6aF9367722e7F9e10257511E57C2811fA54Ff,10207885510988620158206,0,0,0
0xfa8343c666C7b4E617e502c7070A31c52D5A46EC,306842706969207622093586,14339679476795389771776,893335805873602035712,0
0x19fD99Bc64A2B7802a1B6FbA4Ebb3B6f4d165657,108517697834427339237182,0,0,0
0x416927E4Ce46BEAeFADa8441A98FE250d3cf21e9,34632189917903312556220,0,0,0
0x40785dC5b775D91c09855765e41ede2E5Cf909ea,6760303965786656265892,0,0,0
0x60E2395030cF5F1eC962DE5596Fa9ab0BF88fb4C,49400634675615063712918,5411857027618319630336,192556225879508647936,0
0x9B9a63cff3D7C5FD7C805eE88B0AbD24B134B765,2093859147243514933674,0,0,0
0x4eAcf42d898b977973F1fd8448f6035dC44ce4D0,145228618665318029667,0,809638835330124288,0
0x446c0d2cC4736E89017A0a7bfC9F1A818B4c14B2,17678407176805771983,0,0,0
0xda47b9707A7B354AF829297450772Cdf8b23E22B,29309280984043772896101,0,188157275071523258368,0
0x2C9139D5eC9206Bd779A71ecdB927C8cD42E9639,6307150476694875089381,0,0,0
0x6b32BeEb5004778047b53B7b47Dc0B345016efba,21010786751179731656,0,0,0
0x8F095843e43552Fdb814cCd635feC07E6E0194A2,12235209998157210834402,0,0,0
0x1E70794397CF98E5ee453a52a983CE0be7061b8F,446223897220602084609,0,99143856213794045952,0
0xc699A413D0917e2d639D5eD577792b1d17E0B3A0,105780660853313677579,0,0,0
0xA059CF7717a599785F6915c21c8D9E1912d719B8,4087751006245599397078,0,0,0
0x680800F9e4A4bf3D61856beB12F58f0f62c99257,23029606916416081812792,0,0,0
0xBfa6159D3950128FedFA7cDea6170D9df180dB09,17211183730057528711,0,0,0
0x99e18243B0c1991Fede00efc319a16ebD6c224f4,32406765827636180091451,0,0,0
0x96Df52cc3f98855b107342566941D34e908aD448,200473730934433535993,0,0,0
0x7c77ea538CEB10Ab09044A3041164c15Bd15068B,12871691918187485613,271738076038991020032,0,0
0xFA2212ec08E7561149F467203068c10681139f0D,47795950691532311519,0,0,0
0x37B1884205Cc47c2Bf5cF5a0248946C4c0c85724,972704084190434575137,0,0,0
0xf5ba2E5DdED276fc0f7a7637A61157a4be79C626,1733312776104612034735,0,5522130491757499392,340520769580884119552
0x078175a97Ed94f31747c075e016eFA29b25138b7,76249877812248528644414,0,0,0
0x70A1e02E1e0447C5bE9afE92FD5D513996B52068,10475463908720325550928,0,131252778298704723968,0
0x1EF174DD40B5a4aB1d23cf2a9c0eAa97fFF24bA5,82202781856029751397013,0,0,0
0x9462A60E1608587c4ba9A81A3d58d25551773143,2019315677830622701450,580425721555123109888,0,0
0x860001218D2476481629B7c64960bd6eDbEdD848,1235694,0,0,11261327902297825476608
0x1931Db4F2Aa47310c712156aA8c68Be444499Aa1,8657451041345742534539,2878240788349085286400,0,0
0xda5930dc7C0022ecf9A084120dF232c24E54ddAB,75420930688839291902968,0,0,0
0x8fB20c72139B2A971Ab814503D61111349f8Cc78,26845786315993355821847,0,0,0
0x0F5d35420d35FC079339fCd58398F57ee0783e86,23697465661134688451566,0,0,0
0x78947805246FA30f80533d77486dbEe786aCCe6E,6162874649643665362317,0,0,0
0x79603115Df2Ba00659ADC63192325CF104ca529C,92476888517957475890,0,0,0
0x9a146F5292b4B083692804E3771297Dfc665FB2a,15341823894913777755146,3885202788902951190528,42192363796378935296,0
0x3c04eC0d34F8C074644A792Ce04366AB789D3EB3,4804452001937526400382,0,0,0
0x722E895A12d2A11BE99ed69dBc1FEdbB9F3Cd8fe,1346994614183129347374,0,0,0
0xFB27Ea9e342B90d29144f2b02FCe921ebb259b67,103385696054400876329758,0,575408443487187501056,0
0xabA09ea89797757A86faad95054445B73E2fE853,1486532281550009063811,0,0,0
0xe2B8C74C8e5601c8AdF5A747C4DFF3486a804698,9131279833622751224269,0,0,0
0xb3522064694Ac9870Dbf00eEBC2712762193Bb64,15259692700277299674168,0,0,0
0x60d200Aae5ed2dE26A257C86Bc4CFC4Da8f8A382,2339916036527914861376,0,0,0
0x0edEFA91e99da1eDDD1372c1743A63B1595fC413,4718346931175993625571725,0,12009683304753076895744,0
0xB210f29134EadDC85B1b58710dA958337381d8aE,11580208626701457864035,0,33717248297167384576,0
0x2dF4511b20B3ccc6a37729EBDc2F3b78fAA84fC5,5754269440759847593696,168564339535244820480,0,0
0x2588253CC1DaaC3e7D823b9190ec87E75c67f2c4,17647979495304866040795,0,384640066057179103232,0
0x989225f2F9bA272aDbce6d579232C4113ee998D8,3391492356419204285866,0,0,0
0x2061530BdD693B359761B378B05e1D55abF98c32,1383136264802735684557,0,0,0
0x0059efca9d24bf579EE0314e7BC2569674aA42E2,194959974045344747487232,0,972679136972450955264,0
0xb2F44FFA376dEA81b57E6AE9AE16857E64DC897B,99769843284975242182656,0,0,0
0x6610c566B01ad2076CFdFf3cf68515aaE76a9035,0,2443736677114072530944,0,0
0x1A32DC731b3461Ec8811C7ce4a725B7881Ff839F,0,0,855044468075883008,2029816660673323264
